Frei verwendbar Trading date time according to 
field 28Quantity according to field 
30Price 
according to field 
33Price Currency 
according to 
field 34Venue 
according to 
field 36
Aggregation 24Jan23 XETR 76,500 19.15947 EUR XETR
2023-01-24T15:44:41.02Z 249 19.06500 EUR XETR
2023-01-24T15:44:43.44Z 10 19.06000 EUR XETR
2023-01-24T15:45:20.23Z 233 19.06000 EUR XETR
Frei verwendbar 2023-01-24T15:47:23.68Z 139 19.06500 EUR XETR
2023-01-24T15:47:43.85Z 205 19.06000 EUR XETR
2023-01-24T15:48:53.70Z 165 19.05000 EUR XETR
2023-01-24T15:50:01.64Z 296 19.05000 EUR XETR
2023-01-24T15:50:54.70Z 271 19.05500 EUR XETR
2023-01-24T15:52:01.15Z 132 19.04500 EUR XETR
2023-01-24T15:52:11.49Z 133 19.04500 EUR XETR
2023-01-24T15:53:38.04Z 142 19.04500 EUR XETR
2023-01-24T15:54:45.97Z 252 19.04500 EUR XETR
2023-01-24T15:57:19.14Z 165 19.07000 EUR XETR
2023-01-24T15:57:28.32Z 151 19.07000 EUR XETR
2023-01-24T15:57:47.81Z 254 19.06500 EUR XETR
2023-01-24T15:58:51.50Z 134 19.06000 EUR XETR
2023-01-24T15:59:26.83Z 133 19.05500 EUR XETR
2023-01-24T16:00:45.86Z 65 19.04000 EUR XETR
2023-01-24T16:00:45.86Z 199 19.04000 EUR XETR
